t_s,T_numeric_K,T_analytical_K
907.927134502924,303.53106372438236,303.5310637144092
919.4198830409357,303.59900675389247,303.5990067663133
930.9126315789474,303.665935730158,303.6659357617822
942.4053801169591,303.7318657947516,303.73186583570345
953.8981286549708,303.7968118629806,303.796811897075
965.3908771929825,303.86078862503894,303.8607886323767
976.8836257309941,303.9238105261175,303.92381050889117
988.3763742690059,303.98589180559765,303.98589177797567
999.8691228070176,304.04704649994244,304.04704647828436
1011.3618713450293,304.10728844269653,304.1072884389434
1022.854619883041,304.1666312644863,304.16663128267777
1034.3473684210526,304.2250883930196,304.22508842889215
1045.8401169590643,304.282673053086,304.2826730967052
1057.332865497076,304.3393982733437,304.3393983079391
1068.8256140350877,304.3952768821216,304.39527689006405
1080.3183625730994,304.4503214947289,304.4503214790991
1091.8111111111111,304.50454454800047,304.5045445224695
1103.3038596491228,304.5579583016981,304.5579582818214
1114.7966081871346,304.61057483851073,304.610574835795
1126.2893567251463,304.6624060640541,304.66240608275535
1137.782105263158,304.713463706871,304.71346374348354
1149.2748538011697,304.7637593184311,304.76375936382675
1160.7676023391814,304.81330427757223,304.8133043173093
1172.260350877193,304.8621097928023,304.8621098077047
1183.7530994152048,304.91018688136086,304.910186871569
1195.2458479532165,304.9575464035185,304.9575463807367
1206.738596491228,305.00419906559455,305.00419904477894
1218.2313450292397,305.0501554199566,305.0501554134258
1229.7240935672514,305.09542586502084,305.09542587895135
1241.2168421052631,305.14002064525187,305.14002067852425
1252.7095906432749,305.18394985116277,305.18394989652234
1264.2023391812866,305.2272234199012,305.22722346681314
1275.6950877192983,305.26985114697027,305.2698511750003
1287.18783625731,305.3118426587011,305.31184266063644
1298.6805847953217,305.35320743618837,305.35320741940296
1310.1733333333334,305.3939548271956,305.39395480525724
1321.666081871345,305.43409404615505,305.434094032548
1333.1588304093568,305.4736341741679,305.473634178099
1344.6515789473685,305.5125841590042,305.51258418326154
1356.1443274853802,305.5509528151026,305.55095285593626
1367.637076023392,305.588748823571,305.5887488725653
1379.1298245614034,305.6259807358296,305.625980780094
1390.6225730994151,305.662656976519,305.6626569979035
1402.1153216374269,305.69878582269774,305.6987858197153
1413.6080701754386,305.7343754334363,305.73437541546593
1425.1008187134503,305.76943385280316,305.7694338331552
1436.593567251462,305.80396900986534,305.80396900066546
1448.0863157894737,305.83798871868817,305.8379887275549
1459.5790643274854,305.8715006783352,305.87150070682316
1471.0718128654971,305.90451247286865,305.90451251665127
1482.5645614035088,305.93703157134865,305.9370316221151
1494.0573099415205,305.96906533220437,305.96906537687363
1505.5500584795323,306.0006210028965,306.0006210248317
1517.042807017544,306.0317057034695,306.03170570177826
1528.5355555555557,306.06232645341424,306.0623264369999
1540.0283040935674,306.09249017345655,306.0924901548705
1551.521052631579,306.1222036855576,306.122203676417
1563.0138011695908,306.15147371291397,306.15147372086176
1574.5065497076023,306.18030687995713,306.18030690714227
1585.999298245614,306.208709712354,306.2087097554077
1597.4920467836257,306.23668863700664,306.23668868849336
1608.9847953216374,306.2642499840509,306.2642500333731
1620.4775438596491,306.29139999301935,306.2914000225902
1631.9702923976608,306.31814479006243,306.31814479566657
1643.4630409356726,306.34449041239634,306.34449040049117
1654.9557894736843,306.3704428128035,306.37044279468773
1666.448538011696,306.3960078596321,306.39600784696177
1677.9412865497077,306.4211913367965,306.4211913384279
1689.4340350877194,306.4459989437767,306.445998963917
1700.926783625731,306.470436295619,306.4704363332642
1712.4195321637428,306.4945089229353,306.49450897257714
1723.9122807017545,306.5182222719038,306.5182223254859
1735.4050292397662,306.54158171141813,306.54158175437385
1746.8977777777777,306.5645925213326,306.5645925415902
1758.3905263157894,306.58725989201116,306.5872598906447
1769.8832748538011,306.6095889419129,306.60958892738415
1781.3760233918129,306.63158471766246,306.6315847011517
1792.8687719298246,306.65325219404986,306.6532521859285
1804.3615204678363,306.6745962740307,306.67459628145866
1815.854269005848,306.69562178872604,306.695621814357
1827.3470175438597,306.71633349742257,306.7163335392008
1838.8397660818714,306.7367360875722,306.73673613960466
1850.332514619883,306.7568341748558,306.75683422928
1861.8252631578948,306.7766323116018,306.776632353078
1873.3180116959065,306.79613496897264,306.7961349880176
1884.8107602339182,306.81534654580577,306.8153465442979
1896.30350877193,306.83427138013633,306.834271366295
1907.7962573099417,306.8529137491972,306.8529137335452
1919.2890058479534,306.87127786941915,306.87127786171214
1930.781754385965,306.88936789643043,306.88936790354023
1942.2745029239766,306.9071879250571,306.9071879497938
1953.7672514619883,306.92474198932297,306.9247420301823
1965.26,306.94203406244964,306.94203411427117
1976.7527485380117,306.9590680568563,306.95906811237984
1988.2454970760234,306.9758478300003,306.9758478764658
1999.7382456140351,306.9923771753256,306.99237720099575
2011.2309941520468,307.0086598193271,307.00865982380355
2022.7237426900585,307.02469943719814,307.0246994269357
2034.2164912280703,307.0404996529479,307.0404996374836
2045.709239766082,307.0560640394012,307.05606402840414
2057.2019883040934,307.07139611819827,307.07139611932735
2068.694736842105,307.08649935979537,307.08649937735254
2080.187485380117,307.10137718346425,307.10137721783224
2091.6802339181286,307.1160329572923,307.1160330051445
2103.1729824561403,307.13046999818266,307.13047005345373
2114.665730994152,307.1446915727547,307.1446916274601
2126.1584795321637,307.15870090356606,307.1587009431378
2137.6512280701754,307.1725011502264,307.17250116846236
2149.143976608187,307.18609542478424,307.1860954241269
2160.636725146199,307.1994867964498,307.19948678424805
2172.1294736842106,307.21267829159524,307.21267827706083
2183.6222222222223,307.2256728937548,307.22567288560356
2195.114970760234,307.2384735436245,307.2384735483925
2206.6077192982457,307.2510831390624,307.25108316008624
2218.1004678362574,307.26350453508854,307.2635045721404
2229.593216374269,307.27574054388475,307.2757405934522
2241.085964912281,307.2877939347949,307.2877939909959
2252.5787134502925,307.299667435419,307.2996674904485
2264.0714619883042,307.31136373668903,307.31136377680576
2275.564210526316,307.32288547549297,307.3228854949899
2287.0569590643277,307.33423524946903,307.33423525044736
2298.5497076023394,307.3454156206246,307.34541560973787
